연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
1,서울,-,서울드럼페스티벌,문화예술,2024-05-25,2024-05-26
2,서울,-,서울뮤직페스티벌,문화예술,2024-09-27,2024-09-29
3,서울,-,서울국악축제,전통역사,2024-01-09,2024-01-09
4,서울,-,서울페스타 2024,문화예술,2024-05-01,2024-05-06
10,서울,-,제18회 서울안전한마당,문화예술,2024-05-02,2024-05-04
11,서울,-,2024 서울세계도시문화축제,문화예술,2024-05-25,2024-05-26
12,서울,-,서울라이트 한강 빛섬축제 ,문화예술,2024-10-05,2024-10-13
13,서울,-,서울라이트 광화문,문화예술,2024-12-20,2025-01-12
15,서울,-,한강서래섬유채꽃축제,자연생태,2024-05-10,2024-05-19
17,서울,-,2024 서울대공원 벚꽃축제,자연생태,2024-01-04,2024-01-04
18,서울,-,제24회 서울대공원 장미원축제,자연생태,2024-05-24,2024-06-09
19,서울,-,제9회 동물원 밖 동물원,문화예술,2024-01-10,2024-01-12
20,서울,강남구,제13회 강남페스티벌,문화예술,2024-01-09,2024-01-09
21,서울,강남구,제5회강남디자인위크,문화예술,2024-05-24,2024-05-28
22,서울,강남구,제4회 강남 G-KPOP 콘서트,문화예술,2024-01-05,2024-01-05
23,서울,강동구,제29회 강동선사문화축제,전통역사,2024-10-11,2024-10-13
24,서울,강북구,419혁명국민문화제,전통역사,2024-04-12,2024-04-19
25,서울,강북구,천변라이프 강북페스타2024,문화예술,2024-05-31,2024-06-02
29,서울,광진구,제2회 광진청년문화Street페스티벌,문화예술,2024-01-09,2024-01-09
31,서울,금천구,제6회 금천과학축제,문화예술,2024-09-06,2024-09-07
32,서울,금천구,2024 금천하모니축제,문화예술,2024-05-10,2024-05-12
33,서울,금천구,2024년 제7회 정조대왕 능행차 공동재현 행사,전통역사,2024-10-05,2024-10-06
35,서울,금천구,제4회 금천패션영화제,문화예술,2024-11-01,2024-11-04
37,서울,노원구,노원달빛산책,문화예술,2024-10-11,2024-11-03
38,서울,노원구,댄싱노원,문화예술,2024-09-28,2024-09-29
39,서울,도봉구,우이천 벚꽃 축제,문화예술,2024-04-03,2024-04-07
40,서울,도봉구,제12회 도봉구 등 축제,문화예술,2024-10-04,2024-10-12
41,서울,동대문구,동대문구 봄꽃축제,자연생태,2024-03-30,2024-03-31
42,서울,동대문구,선농대제,전통역사,2024-04-20,2024-04-20
43,서울,동대문구,청룡문화제,전통역사,2024-10-26,2024-10-26
44,서울,마포구,제17회 마포나루 새우젓축제,전통역사,2024-10-18,2024-10-20
49,서울,서대문구,서대문 벚꽃 축제,문화예술,2024-01-04,2024-01-04
50,서울,서대문구,서대문독립축제,문화예술,2024-01-08,2024-01-08
51,서울,서대문구,신촌글로벌대학문화축제,문화예술,2024-09-25,2024-09-27
52,서울,서대문구,신촌카운트다운 콘서트,문화예술,2024-12-31,2024-12-31
53,서울,서초구,봄밤의 클래식 축제,문화예술,2024-01-04,2024-01-04
54,서울,서초구,서초뮤직앤아트페스티벌,문화예술,2024-01-06,2024-01-06
55,서울,서초구,2024 서리풀페스티벌,문화예술,2024-01-09,2024-01-09
56,서울,영등포구,제18회 영등포 여의도 봄꽃축제,문화예술,2024-01-03,2024-01-03
57,서울,영등포구,선유로운 축제,문화예술,2024-01-05,2024-01-05
58,서울,영등포구,안양천 썸머 페스티벌,자연생태,2024-01-07,2024-01-08
